ZONE T="NURB_Profil_gestaf0"
I=380, J=1, K=1
0.067216543 0.019622224 0.000000000
0.067231030 0.019575968 0.000000000
0.067241773 0.019528702 0.000000000
0.067248661 0.019480723 0.000000000
0.067251543 0.019432338 0.000000000
0.067250236 0.019383887 0.000000000
0.067244539 0.019335756 0.000000000
0.067234351 0.019288450 0.000000000
0.067219870 0.019242276 0.000000000
0.067201374 0.019197557 0.000000000
0.067179122 0.019154583 0.000000000
0.067153342 0.019113627 0.000000000
0.067124228 0.019074970 0.000000000
0.067091951 0.019038913 0.000000000
0.067056660 0.019005802 0.000000000
0.067018500 0.018976045 0.000000000
0.066977637 0.018950131 0.000000000
0.066934290 0.018928636 0.000000000
0.066888778 0.018912229 0.000000000
0.066841588 0.018901581 0.000000000
0.066793468 0.018896529 0.000000000
0.066745076 0.018896002 0.000000000
0.066696756 0.018898810 0.000000000
0.066648611 0.018903826 0.000000000
